state,square miles, square kilometers
Alabama,52420,135767
Alaska,665384,1723337
Arizona,113990,295234
Arkansas,53179,137732
California,163695,423967
Colorado,104094,269601
Connecticut,5543,14357
Delaware,2489,6446
District of Columbia,68,177
Florida,65758,170312
Georgia,59425,153910
Hawaii,10932,28313
Idaho,83569,216443
Illinois,57914,149995
Indiana,36420,94326
Iowa,56273,145746
Kansas,82278,213100
Kentucky,40408,104656
Louisiana,52378,135659
Maine,35380,91633
Maryland,12406,32131
Massachusetts,10554,27336
Michigan,96714,250487
Minnesota,86936,225163
Mississippi,48432,125438
Missouri,69707,180540
Montana,147040,380831
Nebraska,77348,200330
Nevada,110572,286380
New Hampshire,9349,24214
New Jersey,8723,22591
New Mexico,121590,314917
New York,54555,141297
North Carolina,53819,139391
North Dakota,70698,183108
Ohio,44826,116098
Oklahoma,69899,181037
Oregon,98379,254799
Pennsylvania,46054,119280
Rhode Island,1545,4001
South Carolina,32020,82933
South Dakota,77116,199729
Tennessee,42144,109153
Texas,268596,695662
Utah,84897,219882
Vermont,9616,24906
Virginia,42775,110787
Washington,71298,184661
West Virginia,24230,62756
Wisconsin,65496,169635
Wyoming,97813,253335
Puerto Rico,5325,13791
